 ID,Date,Parameter/Paramètre,Value/Valeur,Symbol/Symbole
01ED003,1969-05-04,discharge/débit,35.4,
01ED003,1969-05-05,discharge/débit,49.0,
01ED003,1969-05-06,discharge/débit,55.2,
01ED003,1969-05-07,discharge/débit,47.9,
01ED003,1969-05-08,discharge/débit,45.0,
01ED003,1969-05-09,discharge/débit,68.8,
01ED003,1969-05-10,discharge/débit,58.6,
01ED003,1969-05-11,discharge/débit,37.7,
01ED003,1969-05-12,discharge/débit,73.3,
01ED003,1969-05-13,discharge/débit,64.8,
01ED003,1969-05-14,discharge/débit,52.1,
01ED003,1969-05-15,discharge/débit,45.0,
01ED003,1969-05-16,discharge/débit,47.0,
01ED003,1969-05-17,discharge/débit,43.9,
01ED003,1969-05-18,discharge/débit,45.6,
01ED003,1969-05-19,discharge/débit,51.8,
01ED003,1969-05-20,discharge/débit,62.0,
01ED003,1969-05-21,discharge/débit,53.5,
01ED003,1969-05-22,discharge/débit,34.8,
01ED003,1969-05-23,discharge/débit,51.0,
01ED003,1969-05-24,discharge/débit,33.4,
01ED003,1969-05-25,discharge/débit,35.7,
01ED003,1969-05-26,discharge/débit,43.6,
01ED003,1969-05-27,discharge/débit,49.0,
01ED003,1969-05-28,discharge/débit,38.2,
01ED003,1969-05-29,discharge/débit,47.3,
01ED003,1969-05-30,discharge/débit,37.1,
01ED003,1969-05-31,discharge/débit,22.8,
01ED003,1969-06-01,discharge/débit,52.1,
01ED003,1969-06-02,discharge/débit,41.6,
01ED003,1969-06-03,discharge/débit,45.9,
01ED003,1969-06-04,discharge/débit,49.0,
01ED003,1969-06-05,discharge/débit,43.9,
01ED003,1969-06-06,discharge/débit,44.2,
01ED003,1969-06-07,discharge/débit,41.6,
01ED003,1969-06-08,discharge/débit,25.5,
01ED003,1969-06-09,discharge/débit,39.4,
01ED003,1969-06-10,discharge/débit,41.9,
01ED003,1969-06-11,discharge/débit,31.7,
01ED003,1969-06-12,discharge/débit,38.8,
01ED003,1969-06-13,discharge/débit,47.3,
01ED003,1969-06-14,discharge/débit,55.5,
01ED003,1969-06-15,discharge/débit,47.9,
01ED003,1969-06-16,discharge/débit,49.0,
01ED003,1969-06-17,discharge/débit,34.3,
01ED003,1969-06-18,discharge/débit,31.1,
01ED003,1969-06-19,discharge/débit,54.4,
01ED003,1969-06-20,discharge/débit,57.8,
01ED003,1969-06-21,discharge/débit,60.6,
01ED003,1969-06-22,discharge/débit,58.6,
01ED003,1969-06-23,discharge/débit,52.7,
01ED003,1969-06-24,discharge/débit,47.6,
01ED003,1969-06-25,discharge/débit,61.2,
01ED003,1969-06-26,discharge/débit,43.9,
01ED003,1969-06-27,discharge/débit,54.7,
01ED003,1969-06-28,discharge/débit,45.0,
01ED003,1969-06-29,discharge/débit,28.6,
01ED003,1969-06-30,discharge/débit,33.1,
01ED003,1969-07-01,discharge/débit,29.4,
01ED003,1969-07-02,discharge/débit,45.3,
01ED003,1969-07-03,discharge/débit,49.3,
01ED003,1969-07-04,discharge/débit,31.1,
01ED003,1969-07-05,discharge/débit,21.7,
01ED003,1969-07-06,discharge/débit,25.9,
01ED003,1969-07-07,discharge/débit,44.2,
01ED003,1969-07-08,discharge/débit,52.7,
01ED003,1969-07-09,discharge/débit,48.7,
01ED003,1969-07-10,discharge/débit,56.4,
01ED003,1969-07-11,discharge/débit,60.3,
01ED003,1969-07-12,discharge/débit,50.1,
01ED003,1969-07-13,discharge/débit,39.1,
01ED003,1969-07-14,discharge/débit,60.9,
01ED003,1969-07-15,discharge/débit,52.1,
01ED003,1969-07-16,discharge/débit,64.0,
01ED003,1969-07-17,discharge/débit,56.4,
01ED003,1969-07-18,discharge/débit,64.0,
01ED003,1969-07-19,discharge/débit,51.0,
01ED003,1969-07-20,discharge/débit,45.6,
01ED003,1969-07-21,discharge/débit,46.7,
01ED003,1969-07-22,discharge/débit,56.6,
01ED003,1969-07-23,discharge/débit,49.6,
01ED003,1969-07-24,discharge/débit,55.2,
01ED003,1969-07-25,discharge/débit,56.6,
01ED003,1969-07-26,discharge/débit,53.2,
01ED003,1969-07-27,discharge/débit,53.0,
01ED003,1969-07-28,discharge/débit,44.7,
01ED003,1969-07-29,discharge/débit,60.3,
01ED003,1969-07-30,discharge/débit,68.0,
01ED003,1969-07-31,discharge/débit,55.5,
01ED003,1969-08-01,discharge/débit,62.0,
01ED003,1969-08-02,discharge/débit,69.1,
01ED003,1969-08-03,discharge/débit,43.0,
01ED003,1969-08-04,discharge/débit,67.7,
01ED003,1969-08-05,discharge/débit,52.7,
01ED003,1969-08-06,discharge/débit,53.8,
01ED003,1969-08-07,discharge/débit,57.2,
01ED003,1969-08-08,discharge/débit,59.7,
01ED003,1969-08-09,discharge/débit,49.3,
01ED003,1969-08-10,discharge/débit,54.1,
01ED003,1969-08-11,discharge/débit,27.1,
01ED003,1969-08-12,discharge/débit,38.2,
01ED003,1969-08-13,discharge/débit,62.3,
01ED003,1969-08-14,discharge/débit,56.4,
01ED003,1969-08-15,discharge/débit,59.7,
01ED003,1969-08-16,discharge/débit,53.0,
01ED003,1969-08-17,discharge/débit,51.0,
01ED003,1969-08-18,discharge/débit,65.7,
01ED003,1969-08-19,discharge/débit,69.4,
01ED003,1969-08-20,discharge/débit,58.3,
01ED003,1969-08-21,discharge/débit,48.1,
01ED003,1969-08-22,discharge/débit,47.3,
01ED003,1969-08-23,discharge/débit,61.7,
01ED003,1969-08-24,discharge/débit,49.3,
01ED003,1969-08-25,discharge/débit,51.8,
01ED003,1969-08-26,discharge/débit,73.9,
01ED003,1969-08-27,discharge/débit,71.1,
01ED003,1969-08-28,discharge/débit,66.0,
01ED003,1969-08-29,discharge/débit,68.8,
01ED003,1969-08-30,discharge/débit,51.8,
01ED003,1969-08-31,discharge/débit,59.2,
01ED003,1969-09-01,discharge/débit,33.1,
01ED003,1969-09-02,discharge/débit,59.2,
01ED003,1969-09-03,discharge/débit,69.4,
01ED003,1969-09-04,discharge/débit,59.5,
01ED003,1969-09-05,discharge/débit,62.6,
01ED003,1969-09-06,discharge/débit,62.0,
01ED003,1969-09-07,discharge/débit,54.4,
01ED003,1969-09-08,discharge/débit,60.9,
01ED003,1969-09-09,discharge/débit,50.4,
01ED003,1969-09-10,discharge/débit,42.2,
01ED003,1969-09-11,discharge/débit,56.4,
01ED003,1969-09-12,discharge/débit,45.0,
01ED003,1969-09-13,discharge/débit,47.9,
01ED003,1969-09-14,discharge/débit,36.2,
01ED003,1969-09-15,discharge/débit,57.8,
01ED003,1969-09-16,discharge/débit,52.7,
01ED003,1969-09-17,discharge/débit,54.4,
01ED003,1969-09-18,discharge/débit,43.0,
01ED003,1969-09-19,discharge/débit,40.5,
01ED003,1969-09-20,discharge/débit,36.0,
01ED003,1969-09-21,discharge/débit,48.1,
01ED003,1969-09-22,discharge/débit,51.8,
01ED003,1969-09-23,discharge/débit,41.6,
01ED003,1969-09-24,discharge/débit,49.0,
01ED003,1969-09-25,discharge/débit,66.5,
01ED003,1969-09-26,discharge/débit,60.9,
01ED003,1969-09-27,discharge/débit,58.3,
01ED003,1969-09-28,discharge/débit,35.7,
01ED003,1969-09-29,discharge/débit,46.2,
01ED003,1969-09-30,discharge/débit,64.0,
01ED003,1969-10-01,discharge/débit,61.4,
01ED003,1969-10-02,discharge/débit,58.6,
01ED003,1969-10-03,discharge/débit,53.2,
01ED003,1969-10-04,discharge/débit,71.4,
01ED003,1969-10-05,discharge/débit,47.0,
01ED003,1969-10-06,discharge/débit,73.3,
01ED003,1969-10-07,discharge/débit,64.3,
01ED003,1969-10-08,discharge/débit,56.6,
